title,company,location,description,url,score,matched_keywords
Junior Python Developer,CDP Global,"Fenchurch St, Central London","Title - Junior Python Developer Location - London Salary - £32,157 - £38,000 About CDP: CDP is a global non-profit that runs the world’s only independent environmental disclosure system. As the founder of environmental reporting, we believe in transparency and the power of data to drive change. Partnering with leaders in enterprise, capital, policy and science, we surface the information needed to enable Earth-positive decisions. We helped more than 24,800 companies and almost 1,000 cities, sta…",https://www.adzuna.co.uk/jobs/details/5728408842?utm_medium=api&utm_source=d6e71a5f,11,python
Fintech Graduate Software Engineer (Backend) - Submissions - 2026,Suade,"London, UK","Suade is seeking candidates to join our Graduate Software Engineering programme, which focuses on developing innovative Regulatory Technology (RegTech) software. If you are passionate about technology and finance and want to start your software engineering career, we invite you to apply. Please note: This role is based in London. Suade has a flexible working policy but you will need to be available to come into the London office when required. Some travel may be required. We are unable to offer…",https://www.adzuna.co.uk/jobs/details/5737508599?utm_medium=api&utm_source=d6e71a5f,9,
Fintech Graduate Software Engineer (Backend) - Regtech - 2026,Suade,"London, UK","Suade is seeking candidates to join our Graduate Software Engineering programme, which focuses on developing innovative Regulatory Technology (RegTech) software. If you are passionate about technology and finance and want to start your software engineering career, we invite you to apply. Please note: This role is based in London. Suade has a flexible working policy but you will need to be available to come into the London office when required. Some travel may be required. We are unable to offer…",https://www.adzuna.co.uk/jobs/details/5730260739?utm_medium=api&utm_source=d6e71a5f,9,
Junior Python Developer,RSM,"Farringdon, Central London","As one of the world's largest networks of audit, tax and consulting firms, RSM delivers big ideas and premium service to help middle-market businesses thrive. We are a fast-growing firm with big ambitions  we have a clear goal to become the premium adviser to the middle market, globally. This vision touches everything we do, motivating and inspiring us to become better every day. If you are looking for a firm where you can build a future and make an impact, then RSM is the place for you. Make a…",https://www.adzuna.co.uk/jobs/land/ad/5716068665?se=rja2vadX8RGTDdJK-7cL6w&utm_medium=api&utm_source=d6e71a5f&v=E369F34317565559A0631AEA80A59D4C484676DB,8,
Junior Python Developer,RSM,"Hyde Park, Leeds","As one of the world's largest networks of audit, tax and consulting firms, RSM delivers big ideas and premium service to help middle-market businesses thrive. We are a fast-growing firm with big ambitions  we have a clear goal to become the premium adviser to the middle market, globally. This vision touches everything we do, motivating and inspiring us to become better every day. If you are looking for a firm where you can build a future and make an impact, then RSM is the place for you. Make a…",https://www.adzuna.co.uk/jobs/land/ad/5716069177?se=KNf_wqdX8RGTDdJK-7cL6w&utm_medium=api&utm_source=d6e71a5f&v=734232EBDEFB5FA6EC0E18151F8EC35DE14CA303,8,
Junior Python Developer,RSM,"Rusholme, Manchester","As one of the world's largest networks of audit, tax and consulting firms, RSM delivers big ideas and premium service to help middle-market businesses thrive. We are a fast-growing firm with big ambitions  we have a clear goal to become the premium adviser to the middle market, globally. This vision touches everything we do, motivating and inspiring us to become better every day. If you are looking for a firm where you can build a future and make an impact, then RSM is the place for you. Make a…",https://www.adzuna.co.uk/jobs/land/ad/5716069054?se=VsRVxadX8RGWQvEe2bTbLw&utm_medium=api&utm_source=d6e71a5f&v=74951F67A87FA015DC9E245C89B352895BF3E282,8,
Junior Software/Salesforce Developer,The Portfolio Group,"Manchester, Greater Manchester","Junior Software/Salesforce Developer Manchester This is not your typical Salesforce Developer role. We are looking for a junior developer with strong JavaScript and/or Java fundamentals who wants to build a long-term career within Salesforce development. Existing Salesforce experience is useful, but not essential - attitude, technical capability, and willingness to learn are the priority. You'll join a growing software team responsible for expanding a highly customised internal sales platform b…",https://www.adzuna.co.uk/jobs/land/ad/5729279962?se=CCfPpadX8RGTDdJK-7cL6w&utm_medium=api&utm_source=d6e71a5f&v=9BACD7A43EBA6B3B495EF18435B7D1DD9F6C0E29,6,java
Junior Software/Salesforce Developer,The Portfolio Group,"Rusholme, Manchester","Junior Software/Salesforce Developer Manchester This is not your typical Salesforce Developer role. We are looking for a junior developer with strong JavaScript and/or Java fundamentals who wants to build a long-term career within Salesforce development. Existing Salesforce experience is useful, but not essential - attitude, technical capability, and willingness to learn are the priority. You'll join a growing software team responsible for expanding a highly customised internal sales platform b…",https://www.adzuna.co.uk/jobs/land/ad/5729292799?se=CCfPpadX8RGTDdJK-7cL6w&utm_medium=api&utm_source=d6e71a5f&v=0E97A27F6E25F4101868949F59F8D77AD20A8786,6,java
Junior Software/Salesforce Developer,The Portfolio Group,"Manchester Science Park, Manchester","Salary: £35,000 - 35,000 per year Requirements: Around 1-2 years of development experience Strong experience with JavaScript and/or Java Strong problem-solving ability Excellent communication skills Professional attitude and the ability to thrive in a corporate environment Enthusiasm to learn and grow within Salesforce development Salesforce experience is useful, but not essential Willingness to build a long-term career in Salesforce development Responsibilities: Support users of our custom Sal…",https://www.adzuna.co.uk/jobs/details/5739411588?utm_medium=api&utm_source=d6e71a5f,6,java
Graduate Consultant Software Engineer 2026,Softwire Technology Limited,"Cambridge Heath, East London","This is a permanent role that blends high-level software engineering with strategic client advisory. Our consultant software engineers act as technical partners to our clients, helping them transform their businesses through domain expertise and, increasingly, AI-driven solutions.As a consultant engineer at Softwire, youpart of a bright, inclusive, supportive team. You will work directly with our customers to solve some of their biggest challenges, making a genuine difference to peoplelives, bu…",https://www.adzuna.co.uk/jobs/details/5691608392?utm_medium=api&utm_source=d6e71a5f,5,
Junior Software Developer - Front-end,Squarepoint Capital,"London, UK","Please only apply to the one job you feel best fits your skillset and experience. If our team feels you are better suited for another role, we will reach out about the alternate opportunity. Position Overview: Front-end developers at Squarepoint are instrumental in enhancing user experience on our sophisticated research and trading platforms. You will use React and Typescript to develop fully-fledged applications facilitating real-time data access, and support the exploration of large volumes o…",https://www.adzuna.co.uk/jobs/details/5453915351?utm_medium=api&utm_source=d6e71a5f,3,
Junior Software Development Engineer in Test (SDET),AVEVA Solutions Limited,"London, UK","Job Title: Junior Software Development Engineer in Test (SDET) Location: Derry/Londonderry or Cambridge, United Kingdom (Hybrid) Employment Type: Full Time The job Were looking for a motivated Junior Software Development Engineer in Test (SDET) to join our 3DVis Cloud team at AVEVA. Youll support the delivery of best-in-class 3D visualisation and XR (Extended Reality) cloud streaming technologies, supporting AVEVAs industrial software portfolio. Your work will help ensure our cloud and on-premi…",https://www.adzuna.co.uk/jobs/details/5726019640?utm_medium=api&utm_source=d6e71a5f,3,
Junior Software Developer ( Equity) at Joinkyber.com,Jack & Jill,"London, UK","This is a job that Jill, our AI Recruiter, is recruiting for on behalf of one of our customers. She will pick the best candidates from Jack's network The next step is to speak to Jack . Job Title: Junior Software Developer Company Description: Joinkyber.com – Pre-seed EF Fall 2025 AI startup Job Description: As the first engineering hire at Kyber, you will build the real-time AI decision-making platform that orchestrates airport ground operations. You will develop fault-tolerant agentic systems…",https://www.adzuna.co.uk/jobs/details/5709489473?utm_medium=api&utm_source=d6e71a5f,3,
Junior SDET (Software Development Engineer in Test),Cognizant,"London, UK","Quality Engineering & Assurance · UK Public Sector Cognizant has set the standard for the AI builder company, being first to market with this concept _-_ moving beyond integration to building the context-infused platforms, agentic journeys, tools and models that make AI's potential real for the enterprise. This means closing the gap between AI hype and real business outcomes for our clients by blending people, platforms, and context to build agents that do real work. As AI generates more code t…",https://www.adzuna.co.uk/jobs/details/5708800616?utm_medium=api&utm_source=d6e71a5f,3,
