title,company,location,description,url,salary_min,salary_max,rejection_reason,source
Trainee Recruitment Consultant - Immediate Start!,Rule Recruitment,"Central London, London","Trainee Recruitment Consultant Software Engineering | Graduate Job London | £45K OTE Are you a graduate or entry-level candidate looking to start a high-earning career in tech recruitment? Interested in working within software engineering recruitment, with structured progression, international opportunities, and uncapped commission? This is a fantastic opportunity to join a fast-growing digital recruitment agency in London, specialising in software engineering and product recruitment across lea…",https://www.adzuna.co.uk/jobs/details/5711096429?utm_medium=api&utm_source=d6e71a5f,,,Title not junior or graduate,Adzuna
Trainee Recruitmenr Consultant - Technology,Rule Recruitment,"Central London, London","Trainee Recruitment Consultant Software Engineering | Graduate Job London | £45K OTE Are you a graduate or entry-level candidate looking to start a high-earning career in tech recruitment ? Interested in working within software engineering recruitment , with structured progression, international opportunities, and uncapped commission? This is a fantastic opportunity to join a fast-growing digital recruitment agency in London, specialising in software engineering and product recruitment across l…",https://www.adzuna.co.uk/jobs/details/5740899998?utm_medium=api&utm_source=d6e71a5f,,,Title not junior or graduate,Adzuna
Trainee Website Administrator,ITOL Recruit,"London, UK","If you are looking to progress a career in website administrator, then this training and placement programme is made for you? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. All you need is a desire to work hard and invest some time and money in yourself to build the foundations for a new career. We help you start your career journey in programming by firstly ensuring you have the necessary industry recognised certifications a…",https://www.adzuna.co.uk/jobs/land/ad/5738882545?se=3NVMU8pZ8RGnIoq2Qt7vYQ&utm_medium=api&utm_source=d6e71a5f&v=9E78F029EEC6B32973EA0BEE040F906BD85CB326,,,Not a software/technical role; Title not junior or graduate,Adzuna
Support Engineer,Reset Health,"London, UK","We are looking for a Level 2 Support Engineer with a junior development background who is keen to grow into a hybrid role spanning technical support and QA . You’ll act as a technical escalation point for Level 1 support, working closely with the Governance Lead, developers and the Product teams. When the support queue is quiet you’ll be part of our wider QA team testing our platform, raising defects and suggesting improvements. This role is ideal for someone early in their career who wants bro…",https://www.adzuna.co.uk/jobs/details/5693391473?utm_medium=api&utm_source=d6e71a5f,,,Title not junior or graduate,Adzuna
Senior Embedded Software Engineer (C++),Expert Employment,"North London, London","We are looking for a Senior Embedded Software Engineer to develop advanced, real-time software solutions for complex systems. You will be responsible for delivering software from initial concept through to fully verified solutions, working across the full development lifecycle. Key Responsibilities Design, develop, and maintain high-quality software using best engineering practices Take ownership of software development from requirements through to verification and validation Support and enhanc…",https://www.adzuna.co.uk/jobs/details/5719614856?utm_medium=api&utm_source=d6e71a5f,,,Title not junior or graduate; Experience level too high,Adzuna
Senior Embedded Software Engineer C++,Engineering Employment,"North London, London","C++, Python, embedded, version control, CI/CD, software testing, verification, validation, GUI UXWe are looking for a Senior Embedded Software Engineer to develop advanced, real-time software solutions for complex systems. You will be responsible for delivering software from initial concept through to fully verified solutions, working across the full development lifecycle. Key Responsibilities Design, develop, and maintain high-quality software using best engineering practices Take ownership of…",https://www.adzuna.co.uk/jobs/details/5720325661?utm_medium=api&utm_source=d6e71a5f,,,Title not junior or graduate; Experience level too high,Adzuna
Business Analyst,Legatics,"London, UK","The Business Analyst is a strategic business partner to the commercial leadership team, sitting at the intersection of business and technology. You will design and build the operational infrastructure that drives predictable, scalable revenue growth, with a particular focus on data, automation and AI-enabled systems. This is a hands-on, junior‑to‑mid technical role for someone who enjoys building things, connecting tools and turning messy data into clear, usable insight. You will own commercial…",https://www.adzuna.co.uk/jobs/details/5679695180?utm_medium=api&utm_source=d6e71a5f,,,Title not junior or graduate,Adzuna
"Director, Full Stack Engineer - Talent Pool",BNY Mellon,"Blackfriars, Central London","Description At BNY, our culture allows us to run our company better and enables employees’ growth and success. As a leading global financial services company at the heart of the global financial system, we influence nearly 20% of the world’s investible assets. Every day, our teams harness cutting-edge AI and breakthrough technologies to collaborate with clients, driving transformative solutions that redefine industries and uplift communities worldwide. Recognized as a top destination for innova…",https://www.adzuna.co.uk/jobs/details/5531013799?utm_medium=api&utm_source=d6e71a5f,,,Title not junior or graduate,Adzuna
Senior Software Engineer (Full Stack),Cancer Research UK,"Stratford, East London","Senior Software Engineer (Full Stack) We’re happy to discuss flexible and remote working options. Location: Stratford based (with high flexibility, office based 1-2 days per week or work remotely) Salary: £50,000 to £60,000 per annum dependent on experience Closing date: 23:55 on the 21st August- p lease do not delay applying as we will be shortlisting on application. Application process : In our commitment to Equality, Diversity, and Inclusion, we operate an anonymized shortlisting process. Pl…",https://www.adzuna.co.uk/jobs/land/ad/4802551039?se=3NVMU8pZ8RGnIoq2Qt7vYQ&utm_medium=api&utm_source=d6e71a5f&v=A738E3209F47ED0B44214B783B02BB06055B92E5,,,Title not junior or graduate; Experience level too high,Adzuna
Trainee Website Administrator,ITOL Recruit,"Leeds, West Yorkshire","If you are looking to progress a career in website administrator, then this training and placement programme is made for you? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. All you need is a desire to work hard and invest some time and money in yourself to build the foundations for a new career. We help you start your career journey in programming by firstly ensuring you have the necessary industry recognised certifications a…",https://www.adzuna.co.uk/jobs/land/ad/5733977823?se=vEW9VspZ8RG_sZ1Fp6owxg&utm_medium=api&utm_source=d6e71a5f&v=AD7B156773C0F533A39930B886A1E6F61F7FBD93,,,Not a software/technical role; Title not junior or graduate,Adzuna
